XNNMKY,XNCLCD,XNNAME,XNADD1,XNADD2,XNCDCT,XNCITY,XNSTTE,XNCTRY,XNZIP,XNNOBP,XNNOFP,XNNOKP,XNNOAP,XNRTTX,XNTIN,XNSTIN,XNADBR,XNBIÑ,XNHBIÑ,XNMBÑ,XNFRST,XNATRN,XNAFRA,XNLNCD,XNVAID,XNTAXR,XNTAXN,XNCDON,XNDDON,XNSDON,XNLNON,XNGLON,XNIRON,XNHDPR,XNMCPR,XNMACD,XNCDCI,XNCDMR,XNCDST,XNCDU1,XNCDU2,XNCDU3,XNENDT,XNENTM,XNENUS,XNENWS,XNDTLM
0.0,0     ,BANCOLOMBIA                             ,CRA 52 No 51 76                         ,CLL 50 No 51 76                         ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,          ,6044440186.0,6045121352.0,0.0,6045115516.0,0.0,0.0,890903938.0,001,0.0,N,0.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000020,000010,000004,      ,000000,1     ,0.0,0.0,          ,          ,20210910.0
1.0,0     ,CARABOBO                                ,CL 50 51 76                             ,                                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,11001     ,6044440186.0,6044251000.0,0.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,1.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000001,000001,000004,001005,000001,0     ,0.0,0.0,          ,          ,20211102.0
2.0,0     ,CENTRO COLTEJER                         ,CRA 49 No 52 08                         ,EDIFICIO COLTEJER                       ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,11002     ,6044446924.0,6042519451.0,6042512776.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,2.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000001,000001,000003,001005,000001,0     ,0.0,0.0,          ,          ,20210910.0
3.0,0     ,OTRABANDA                               ,CL 49 B 63 05                           ,EDIFICIO CAMACOL                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,          ,944466927.0,942305897.0,942304888.0,0.0,0.0,0.0,8909039388.0,002,0.0,N,3.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000002,000001,000007,001005,000001,0     ,0.0,0.0,          ,          ,20140908.0
4.0,0     ,LAURELES                                ,CRA 76 Ñ 33 14                          ,                                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,11614     ,6044446928.0,6042504521.0,6042504401.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,4.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000004,000001,000007,001005,000002,0     ,0.0,0.0,          ,          ,20211102.0
5.0,0     ,AVENIDA EL POBLADO                      ,CRA 43A 11A 40                          ,                                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,11005     ,6044446930.0,6043117844.0,6042660620.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,5.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000003,000001,000002,001005,000001,0     ,0.0,0.0,          ,          ,20210910.0
6.0,0     ,AVENIDA JUNIN                           ,CRA 49 # 49 74                          ,                                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,11002     ,6044446931.0,6045124747.0,6042316400.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,6.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000001,000001,000003,001005,000001,0     ,0.0,0.0,          ,          ,20210910.0
7.0,0     ,LOS MOLINOS                             ,Cl 30 Ñ 82 a 26 Local 4179              ,                                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,11614     ,6044446932.0,6042387510.0,6042504018.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,7.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000004,000001,000007,001005,000004,0     ,0.0,0.0,          ,          ,20211102.0
8.0,0     ,LA PLAYA                                ,cl 51 No 43 95                          ,                                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,11008     ,6044446934.0,6042313354.0,6042317246.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,8.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000001,000001,000003,001005,000001,0     ,0.0,0.0,          ,          ,20210910.0
9.0,0     ,CALASANZ                                ,CL 49 No 79 60                          ,                                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,11009     ,6044446935.0,6042340665.0,6042340299.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,9.0,Y,Y,Y,SP,         ,0.07,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000004,000001,000007,001005,000003,0     ,0.0,0.0,          ,          ,20211102.0
10.0,0     ,GUAYAQUIL                               ,CL 46 No 52A 22                         ,                                        ,5001000.0,MEDELLIN                     ,ANTIOQUIA      ,COL,11001     ,6044446936.0,6045119824.0,6045119825.0,0.0,0.0,0.0,8909039388.0,001,0.0,N,10.0,Y,Y,Y,SP,         ,0.0,0.0,Y,Y,Y,Y,Y,N,A,Y, ,000001,000001,000004,001005,000004,0     ,0.0,0.0,          ,          ,20211102.0
